layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,0.0000000000,535
-1,1,0,0.0000000000,0.0000000000,535
-1,2,0,0.0000000000,0.0000000000,535
-1,3,0,0.0000000000,32.7060037144,201
-1,3,1,32.7060037144,65.4120074288,201
-1,3,2,65.4120074288,98.1180111432,75
-1,3,3,98.1180111432,130.8240148576,52
-1,3,4,130.8240148576,163.5300185720,6
-1,4,0,0.0000000000,0.0000000000,535
-1,5,0,0.0000000000,0.0000000000,535
-1,6,0,0.0000000000,0.0000000000,535
-1,7,0,0.0000000000,0.0000000000,535
-1,8,0,0.0000000000,0.0000000000,535
-1,9,0,0.0000000000,0.0000000000,535
-1,10,0,0.0000000000,1.3138910186,533
-1,10,7,9.1972371302,10.5111281488,1
-1,10,21,27.5917113906,28.9056024092,1
-1,11,0,0.0000000000,0.0000000000,535
-1,12,0,0.0000000000,0.0000000000,535
-1,13,0,0.0000000000,0.0000000000,535
-1,14,0,0.0000000000,0.0000000000,535
-1,15,0,0.0000000000,0.0000000000,535
