layerId,nodeId,binId,sigmaInterval_lb,sigmaInterval_ub,sigmaFreq
-1,0,0,0.0000000000,0.0000000000,6
-1,1,0,0.0000000000,0.0000000000,6
-1,2,0,0.0000000000,0.0000000000,6
-1,3,0,0.0000000000,0.0000000000,6
-1,4,0,0.0000000000,0.0000000000,6
-1,5,0,0.0000000000,0.0000000000,6
-1,6,0,0.0000000000,0.0000000000,6
-1,7,0,0.0000000000,0.0000000000,6
-1,8,0,18.8600254059,35.6337335886,3
-1,8,1,35.6337335886,52.4074417713,2
-1,8,2,52.4074417713,69.1811499540,1
-1,9,0,0.0000000000,0.0000000000,6
-1,10,0,0.0000000000,0.0000000000,6
-1,11,0,0.0000000000,0.0000000000,6
-1,12,0,0.0000000000,0.0000000000,6
-1,13,0,0.0000000000,0.0000000000,6
-1,14,0,26.7221031189,56.1779447900,3
-1,14,1,56.1779447900,85.6337864611,2
-1,14,2,85.6337864611,115.0896281322,1
-1,15,0,0.0000000000,0.0000000000,6
-1,16,0,0.0000000000,0.0000000000,6
-1,17,0,0.0000000000,0.0000000000,6
-1,18,0,0.0000000000,0.0000000000,6
-1,19,0,0.0000000000,0.0000000000,6
-1,20,0,0.0000000000,0.0000000000,6
-1,21,0,0.0000000000,0.0000000000,6
-1,22,0,0.0000000000,0.0000000000,6
-1,23,0,0.0000000000,0.0000000000,6
-1,24,0,0.0000000000,0.0000000000,6
-1,25,0,0.0000000000,0.0000000000,6
-1,26,0,0.0000000000,0.0000000000,6
-1,27,0,7.8104853630,20.4541839001,3
-1,27,1,20.4541839001,33.0978824372,2
-1,27,2,33.0978824372,45.7415809743,1
-1,28,0,0.0000000000,0.0000000000,6
-1,29,0,0.0000000000,0.0000000000,6
-1,30,0,9.7584629059,48.4671731430,3
-1,30,1,48.4671731430,87.1758833801,2
-1,30,2,87.1758833801,125.8845936172,1
-1,31,0,18.2835502625,49.0292162045,3
-1,31,1,49.0292162045,79.7748821465,2
-1,31,2,79.7748821465,110.5205480885,1
-1,32,0,0.0000000000,0.0000000000,6
-1,33,0,0.0000000000,0.0000000000,6
-1,34,0,0.0000000000,0.0000000000,6
-1,35,0,0.0000000000,0.0000000000,6
-1,36,0,0.0000000000,0.0000000000,6
-1,37,0,0.0000000000,0.0000000000,6
-1,38,0,0.0000000000,0.0000000000,6
-1,39,0,21.4916992188,45.8618271002,3
-1,39,1,45.8618271002,70.2319549817,2
-1,39,2,70.2319549817,94.6020828632,1
-1,40,0,0.0000000000,0.0000000000,6
-1,41,0,0.0000000000,0.0000000000,6
-1,42,0,5.7735571861,25.6779511567,3
-1,42,1,25.6779511567,45.5823451273,2
-1,42,2,45.5823451273,65.4867390979,1
-1,43,0,0.0000000000,0.0000000000,6
-1,44,0,32.6012725830,59.0804796260,2
-1,44,1,59.0804796260,85.5596866690,2
-1,44,2,85.5596866690,112.0388937120,2
-1,45,0,0.0000000000,0.0000000000,6
-1,46,0,0.0000000000,0.0000000000,6
-1,47,0,0.0000000000,0.0000000000,6
-1,48,0,0.0000000000,0.0000000000,6
-1,49,0,0.0000000000,0.0000000000,6
